composition,score,var,std
Tb3 Ge13 Ir4,0.9988493084907532,6.76044094788608e-06,0.002600084796287629
Dy3 Ge13 Ir4,0.9988080930709838,6.523003719129897e-06,0.0025540171728337885
Sr1 Mn2 As2,0.9986850374937056,8.529749395769319e-06,0.002920573470359772
Tm3 Ge13 Ir4,0.9986789619922638,7.264050540614192e-06,0.0026951902605593893
Ce3 Ge13 Ir4,0.9986620491743088,7.73469596517603e-06,0.0027811321373095573
Gd3 Ge13 Ir4,0.9986350131034852,7.62386964260605e-06,0.0027611355712108838
Sm3 Ge13 Ir4,0.9986350131034852,7.62386964260605e-06,0.0027611355712108838
Pr3 Ge13 Ir4,0.998632293343544,7.932821172054732e-06,0.0028165264373079713
Er3 Ge13 Ir4,0.9986304271221159,6.856586944776713e-06,0.0026185085344097533
Ho3 Ge13 Ir4,0.9986304271221159,6.856586944776713e-06,0.0026185085344097533
Tb3 Ge13 Os4,0.9986061942577362,1.0259960797851894e-05,0.003203117356240932
Ca1 Mn2 Sb2,0.998583322763443,1.1387671600111556e-05,0.003374562430910348
Nd3 Ge13 Ir4,0.9985637313127518,8.518786589639833e-06,0.0029186960426943803
Dy3 Ge13 Ru4,0.9985557913780212,9.587165161803996e-06,0.003096314771111619
Tm3 Ge13 Os4,0.9985395526885986,1.2970430057217254e-05,0.003601448327717233
Lu3 Ge13 Ir4,0.9985319739580154,7.551046036261905e-06,0.0027479166720011552
Eu1 Mn2 As2,0.9985195434093476,1.4283781524171937e-05,0.003779389041124496
Yb1 Mn2 As2,0.9985104316473008,1.7046466916617558e-05,0.004128736721639872
Dy3 Ge13 Os4,0.9984979939460754,1.0757470436465159e-05,0.003279858295180625
Tm3 Ge13 Ru4,0.9984842312335968,1.0571179894454008e-05,0.0032513350941504025
Lu3 Ge13 Ru4,0.9983737790584564,1.1950761224029755e-05,0.003456987304580356
Pr3 Ge13 Os4,0.9983691608905793,1.0377990189725408e-05,0.0032214888157070178
Ce2 Mn3 Cu9 P7,0.9983691591024398,8.868604312187938e-06,0.002978020200097363
La2 Mn3 Cu9 P7,0.9983691591024398,8.868604312187938e-06,0.002978020200097363
Er3 Ge13 Os4,0.9983649224042892,1.1587868919020787e-05,0.0034040959033230524
Ho3 Ge13 Os4,0.9983649224042892,1.1587868919020787e-05,0.0034040959033230524
Ba1 Mn2 P2,0.9983512818813324,1.3766810352002743e-05,0.003710365258569936
Nd3 Ge13 Os4,0.9983214658498764,1.1409087968463575e-05,0.003377734147096775
Sm2 Mn3 Cu9 P7,0.9983161419630052,9.720663747883057e-06,0.0031177979004231586
Lu3 Ge13 Os4,0.9983061182498932,1.4276086544155948e-05,0.0037783708849391615
Er3 Ge13 Ru4,0.9982974839210508,1.1294510375526593e-05,0.0033607306312060463
Ho3 Ge13 Ru4,0.9982974839210508,1.1294510375526593e-05,0.0033607306312060463
Dy2 Mn3 Cu9 P7,0.9982863265275956,8.739930344323089e-06,0.0029563373191033343
Ba1 Mn2 As2,0.9982807064056396,1.6976965912428405e-05,0.0041203113853722755
Ce3 Ge13 Os4,0.9982796049118042,1.2138983201120293e-05,0.003484104361399109
Tb2 Mn3 Cu9 P7,0.9982679164409638,8.830357852319466e-06,0.002971591804457581
Sm3 Ge13 Os4,0.998263702392578,1.3340283201807792e-05,0.0036524352426576703
Gd3 Ge13 Os4,0.998263702392578,1.3340283201807792e-05,0.0036524352426576703
Ca1 Mn2 As2,0.9982518726587296,1.5370057118196908e-05,0.0039204664414068035
Sr1 Mn2 P2,0.9982493054866792,3.0218712546143065e-05,0.005497154950166774
Dy3 Ge13 Rh4,0.9982429540157318,9.108964203237192e-06,0.003018106062290918
Pr2 Mn3 Cu9 P7,0.9981763279438018,9.94939796236028e-06,0.003154266628292586
Nd2 Mn3 Cu9 P7,0.9981743097305298,1.1127780315902671e-05,0.003335832776969294
Pr3 Ge13 Ru4,0.9981677544116974,1.0452797252325822e-05,0.003233078602868452
Ce3 Ge13 Ru4,0.9981669956445692,1.2207817707497976e-05,0.0034939687616660194
Yb1 Sn1 Pt1,0.9981428503990172,1.821428864609216e-05,0.004267820128132412
Nd3 Ge13 Ru4,0.9980894017219544,1.2120902815161156e-05,0.003481508698130906
Ho1 Mn1 Cu4 P3,0.9980427193641662,1.2463291735903724e-05,0.0035303387565365062
Dy1 Mn1 Cu4 P3,0.998037616610527,1.2303963589421173e-05,0.0035077006128546905
Gd3 Ge13 Ru4,0.9980029046535492,1.4126642701732856e-05,0.003758542630027343
Sm3 Ge13 Ru4,0.9980029046535492,1.4126642701732856e-05,0.003758542630027343
Tm3 Ge13 Rh4,0.9979961389303208,9.966226178782327e-06,0.00315693303362335
Tb3 Ge13 Rh4,0.9979951989650726,1.1167471455165407e-05,0.003341776691397169
Ho3 Ge13 Rh4,0.9979039025306702,1.145940903255961e-05,0.003385174889508607
Er3 Ge13 Rh4,0.9979039025306702,1.145940903255961e-05,0.003385174889508607
Lu3 Ge13 Rh4,0.9978734081983568,9.771126446430502e-06,0.003125880107494608
Sr1 Mn2 Sb2,0.9978277486562728,2.9046658309685277e-05,0.005389495181339833
Y3 Ge13 Ir4,0.9977760893106461,1.152195245513024e-05,0.003394400161314255
Y3 Ge13 Os4,0.9977034103870392,1.8858834732411262e-05,0.004342675987500249
Y3 Ge13 Ru4,0.9976739931106569,1.7981130954018397e-05,0.004240416365643636
